employee_id,department,remote_working,hours_worked_per_day
E0001,HR,No,10.1
E0002,HR,No,8.5
E0003,IT,Yes,9.2
E0004,Marketing,No,10.7
E0005,Marketing,Yes,10.2
E0006,Marketing,Yes,6.8
E0007,Marketing,No,9.1
E0008,Marketing,Yes,7.8
E0009,HR,No,7.9
E0010,IT,Yes,8.5
E0011,Marketing,No,8.2
E0012,IT,Yes,9.7
E0013,IT,No,8.9
E0014,Marketing,No,8.1
E0015,HR,No,8.5
E0016,Marketing,Yes,8.4
E0017,IT,Yes,9.8
E0018,HR,Yes,7.8
E0019,HR,Yes,8.4
E0020,Marketing,Yes,7.0
E0021,IT,Yes,4.9
E0022,Marketing,No,8.8
E0023,Sales,No,9.0
E0024,Marketing,Yes,7.1
E0025,HR,No,10.7
E0026,Marketing,No,6.3
E0027,Sales,No,8.1
E0028,Sales,Yes,7.8
E0029,Marketing,No,9.8
E0030,Marketing,No,9.8
E0031,Sales,Yes,8.2
E0032,IT,No,8.5
E0033,Sales,No,6.9
E0034,Marketing,No,5.6
E0035,Sales,Yes,7.6
E0036,HR,No,8.2
E0037,HR,Yes,9.5
E0038,Sales,No,9.4
E0039,Marketing,Yes,7.5
E0040,Sales,Yes,7.6
E0041,IT,Yes,6.7
E0042,Sales,Yes,6.3
E0043,Sales,Yes,6.0
E0044,Sales,No,10.3
E0045,Sales,Yes,7.4
E0046,IT,No,7.5
E0047,HR,Yes,6.5
E0048,Marketing,Yes,8.9
E0049,Marketing,Yes,6.1
E0050,HR,Yes,7.7
E0051,Marketing,No,6.9
E0052,HR,Yes,8.5
E0053,Marketing,No,7.4
E0054,HR,No,6.6
E0055,Marketing,Yes,8.0
E0056,Marketing,No,8.5
E0057,Marketing,Yes,8.1
E0058,HR,No,8.4
E0059,IT,Yes,7.2
E0060,Sales,No,7.6
E0061,Sales,No,7.2
E0062,Marketing,Yes,7.6
E0063,HR,Yes,7.0
E0064,HR,No,5.9
E0065,Marketing,Yes,8.2
E0066,Sales,Yes,7.5
E0067,Sales,No,6.0
E0068,Sales,No,8.6
E0069,IT,No,6.9
E0070,Marketing,Yes,8.1
E0071,Marketing,No,8.9
E0072,Marketing,No,8.2
E0073,IT,Yes,9.4
E0074,Sales,Yes,6.5
E0075,HR,Yes,8.5
E0076,HR,Yes,7.2
E0077,HR,Yes,7.0
E0078,Marketing,No,7.3
E0079,Sales,Yes,7.6
E0080,Marketing,No,8.1
E0081,Sales,Yes,6.6
E0082,IT,Yes,9.1
E0083,Marketing,Yes,8.6
E0084,Marketing,No,6.2
E0085,Sales,No,9.8
E0086,Marketing,No,10.3
E0087,HR,Yes,9.4
E0088,IT,No,7.8
E0089,Sales,No,6.7
E0090,HR,Yes,9.3
E0091,Marketing,Yes,7.5
E0092,Sales,No,9.5
E0093,HR,Yes,8.2
E0094,Sales,Yes,9.2
E0095,HR,Yes,8.4
E0096,HR,No,8.8
E0097,HR,Yes,8.0
E0098,Marketing,No,10.1
E0099,Sales,No,8.2
E0100,Sales,Yes,8.5
E0101,Sales,Yes,10.3
E0102,HR,Yes,6.4
E0103,IT,No,6.5
E0104,IT,No,9.2
E0105,IT,Yes,6.6
E0106,Marketing,Yes,10.3
E0107,HR,Yes,7.5
E0108,Sales,No,7.1
E0109,Marketing,No,10.3
E0110,Marketing,No,9.8
E0111,IT,Yes,10.2
E0112,IT,No,9.1
E0113,Sales,Yes,7.0
E0114,Marketing,Yes,10.3
E0115,Marketing,Yes,7.7
E0116,HR,No,9.0
E0117,HR,Yes,9.1
E0118,Sales,Yes,7.8
E0119,IT,No,8.7
E0120,IT,Yes,9.1
E0121,IT,Yes,8.5
E0122,IT,No,6.7
E0123,Sales,Yes,8.4
E0124,Sales,No,9.6
E0125,Sales,Yes,7.2
E0126,HR,Yes,7.8
E0127,Sales,Yes,7.5
E0128,Sales,No,10.2
E0129,HR,No,8.8
E0130,HR,No,8.5
E0131,IT,Yes,7.1
E0132,IT,Yes,8.6
E0133,HR,No,7.2
E0134,Marketing,Yes,8.0
E0135,IT,No,7.2
E0136,HR,No,8.8
E0137,Marketing,No,8.7
E0138,IT,No,7.8
E0139,IT,Yes,8.5
E0140,Sales,Yes,6.7
E0141,HR,No,6.2
E0142,IT,Yes,8.5
E0143,Marketing,No,8.2
E0144,Sales,Yes,8.8
E0145,Sales,Yes,10.9
E0146,IT,Yes,9.1
E0147,HR,Yes,6.9
E0148,Sales,No,9.3
E0149,Marketing,Yes,6.4
E0150,Marketing,No,7.4
E0151,Marketing,No,7.9
E0152,Marketing,No,10.1
E0153,HR,Yes,7.1
E0154,Sales,No,13.8
E0155,Marketing,No,7.9
E0156,Marketing,No,7.2
E0157,HR,Yes,9.4
E0158,Marketing,Yes,6.7
E0159,IT,No,6.6
E0160,HR,Yes,7.5
E0161,IT,No,7.4
E0162,HR,No,10.3
E0163,Sales,Yes,9.1
E0164,HR,Yes,8.1
E0165,Marketing,No,6.5
E0166,Sales,Yes,9.0
E0167,IT,No,6.8
E0168,IT,No,6.1
E0169,Sales,No,9.4
E0170,HR,Yes,8.4
E0171,IT,Yes,9.1
E0172,Marketing,No,8.4
E0173,IT,No,9.0
E0174,Marketing,No,7.2
E0175,IT,No,6.8
E0176,IT,No,8.8
E0177,Sales,No,7.0
E0178,IT,Yes,7.2
E0179,HR,Yes,7.5
E0180,Sales,No,8.0
E0181,Marketing,No,7.6
E0182,Sales,No,6.4
E0183,IT,No,7.2
E0184,Marketing,Yes,5.3
E0185,Sales,No,8.8
E0186,Sales,Yes,6.1
E0187,Sales,No,6.7
E0188,Sales,Yes,8.1
E0189,IT,No,7.1
E0190,Marketing,No,9.9
E0191,Sales,No,6.4
E0192,HR,No,8.3
E0193,Sales,No,8.0
E0194,Sales,No,6.6
E0195,IT,Yes,8.6
E0196,IT,No,7.8
E0197,HR,No,8.9
E0198,HR,No,9.0
E0199,Sales,Yes,10.6
E0200,Sales,No,9.6
E0201,Marketing,Yes,7.6
E0202,HR,No,7.7
E0203,Marketing,Yes,9.3
E0204,IT,Yes,8.8
E0205,Sales,Yes,8.8
E0206,IT,No,6.1
E0207,HR,Yes,8.0
E0208,Sales,Yes,7.1
E0209,HR,Yes,8.3
E0210,HR,Yes,7.9
E0211,Marketing,Yes,9.1
E0212,HR,No,8.4
E0213,Marketing,Yes,8.9
E0214,IT,No,7.4
E0215,IT,No,6.9
E0216,HR,No,7.5
E0217,IT,No,8.0
E0218,Marketing,Yes,8.5
E0219,Sales,No,10.7
E0220,Sales,No,7.9
E0221,IT,Yes,14.6
E0222,Sales,Yes,7.6
E0223,Sales,No,7.4
E0224,HR,Yes,8.6
E0225,IT,No,6.2
E0226,Marketing,No,8.1
E0227,HR,Yes,8.2
E0228,IT,Yes,8.3
E0229,IT,Yes,7.3
E0230,IT,Yes,7.7
E0231,Sales,No,6.3
E0232,HR,No,7.4
E0233,IT,Yes,7.3
E0234,HR,Yes,8.5
E0235,IT,No,6.6
E0236,Marketing,No,8.9
E0237,Marketing,No,9.8
E0238,IT,Yes,5.5
E0239,HR,Yes,8.5
E0240,Marketing,Yes,8.8
E0241,IT,Yes,7.2
E0242,Marketing,No,7.5
E0243,IT,Yes,7.8
E0244,HR,No,7.6
E0245,Marketing,No,7.6
E0246,Sales,Yes,6.0
E0247,Marketing,Yes,9.4
E0248,Marketing,Yes,9.3
E0249,IT,No,7.0
E0250,HR,Yes,6.2
E0251,Marketing,No,8.6
E0252,HR,No,1.6
E0253,Marketing,Yes,8.2
E0254,Sales,Yes,7.6
E0255,IT,Yes,8.8
E0256,Sales,No,8.8
E0257,HR,Yes,7.1
E0258,IT,No,6.3
E0259,IT,Yes,6.1
E0260,IT,No,8.7
E0261,Marketing,No,6.6
E0262,IT,No,7.4
E0263,Sales,Yes,7.3
E0264,Marketing,Yes,7.9
E0265,IT,No,5.7
E0266,IT,No,8.2
E0267,HR,No,8.6
E0268,Marketing,No,8.1
E0269,HR,No,7.6
E0270,HR,No,8.1
E0271,Sales,No,8.5
E0272,Sales,No,4.7
E0273,Marketing,No,10.3
E0274,Marketing,Yes,8.5
E0275,Marketing,Yes,7.2
E0276,Marketing,Yes,7.5
E0277,HR,Yes,8.6
E0278,Marketing,No,7.9
E0279,HR,Yes,5.6
E0280,IT,Yes,10.5
E0281,Sales,Yes,7.9
E0282,Marketing,Yes,9.2
E0283,IT,No,7.2
E0284,HR,Yes,9.8
E0285,Marketing,No,8.3
E0286,HR,No,8.7
E0287,Sales,Yes,6.7
E0288,HR,No,9.5
E0289,Sales,No,15.7
E0290,Sales,No,9.6
E0291,Sales,Yes,7.2
E0292,IT,No,7.4
E0293,Sales,Yes,10.8
E0294,Marketing,No,6.7
E0295,HR,Yes,7.8
E0296,Sales,Yes,9.4
E0297,IT,Yes,8.1
E0298,Sales,Yes,8.7
E0299,Marketing,Yes,7.5
E0300,IT,No,8.4
E0301,HR,Yes,6.4
E0302,IT,No,10.0
E0303,Marketing,Yes,7.9
E0304,Sales,Yes,7.2
E0305,Sales,No,8.8
E0306,Sales,Yes,7.4
E0307,Sales,No,6.4
E0308,HR,No,6.4
E0309,Sales,Yes,8.8
E0310,Sales,Yes,7.8
E0311,HR,No,7.8
E0312,Sales,No,9.3
E0313,IT,Yes,6.6
E0314,Sales,No,7.1
E0315,Sales,No,7.5
E0316,Sales,Yes,8.1
E0317,Marketing,Yes,7.9
E0318,HR,No,7.7
E0319,HR,Yes,7.9
E0320,Sales,No,7.9
E0321,IT,Yes,7.1
E0322,HR,No,7.0
E0323,HR,No,8.3
E0324,Sales,No,6.9
E0325,IT,Yes,6.6
E0326,Marketing,Yes,7.6
E0327,Marketing,No,7.8
E0328,IT,Yes,10.7
E0329,IT,Yes,7.2
E0330,Marketing,Yes,9.1
E0331,IT,No,8.9
E0332,HR,No,6.6
E0333,Sales,No,8.9
E0334,HR,No,6.6
E0335,Marketing,Yes,4.8
E0336,Marketing,Yes,8.7
E0337,HR,No,5.9
E0338,IT,No,8.5
E0339,Sales,No,7.2
E0340,Sales,Yes,10.0
E0341,Marketing,Yes,9.3
E0342,IT,No,7.5
E0343,Sales,No,7.2
E0344,Sales,No,6.5
E0345,IT,Yes,7.5
E0346,IT,Yes,7.7
E0347,HR,Yes,7.6
E0348,Marketing,Yes,8.2
E0349,Sales,No,8.7
E0350,HR,Yes,8.4
E0351,Marketing,No,7.1
E0352,Marketing,No,6.3
E0353,IT,No,9.6
E0354,HR,Yes,7.2
E0355,Sales,No,7.2
E0356,IT,Yes,7.4
E0357,HR,No,5.8
E0358,IT,No,7.4
E0359,Marketing,No,7.4
E0360,Sales,Yes,8.7
E0361,HR,Yes,8.8
E0362,HR,Yes,8.0
E0363,IT,No,9.1
E0364,HR,Yes,8.4
E0365,Marketing,No,8.0
E0366,Sales,Yes,8.2
E0367,IT,No,7.8
E0368,Sales,No,7.5
E0369,Marketing,Yes,7.7
E0370,HR,Yes,6.6
E0371,HR,No,8.3
E0372,Marketing,No,6.8
E0373,IT,Yes,9.0
E0374,Marketing,No,7.7
E0375,Marketing,Yes,8.1
E0376,Marketing,No,8.6
E0377,Sales,Yes,8.8
E0378,IT,No,6.1
E0379,IT,Yes,7.8
E0380,Marketing,No,9.1
E0381,Marketing,Yes,6.0
E0382,Sales,Yes,8.5
E0383,IT,Yes,5.3
E0384,Sales,No,6.8
E0385,IT,Yes,8.0
E0386,IT,Yes,6.0
E0387,Sales,Yes,6.8
E0388,Sales,No,6.2
E0389,HR,Yes,10.0
E0390,Marketing,Yes,8.2
E0391,HR,Yes,8.7
E0392,HR,Yes,7.7
E0393,HR,No,7.6
E0394,IT,Yes,6.1
E0395,Marketing,Yes,7.6
E0396,IT,No,7.1
E0397,Marketing,Yes,9.0
E0398,Marketing,Yes,9.4
E0399,IT,Yes,9.8
E0400,Marketing,No,9.0
E0401,Sales,No,7.3
E0402,HR,No,6.7
E0403,Sales,No,8.9
E0404,Marketing,Yes,8.4
E0405,IT,No,5.9
E0406,IT,Yes,8.4
E0407,IT,Yes,9.0
E0408,Marketing,Yes,8.1
E0409,Sales,No,7.8
E0410,Marketing,Yes,7.0
E0411,HR,No,6.3
E0412,HR,Yes,9.0
E0413,HR,Yes,7.6
E0414,HR,Yes,7.7
E0415,Sales,No,10.1
E0416,Marketing,Yes,8.8
E0417,Marketing,Yes,8.4
E0418,IT,No,8.2
E0419,Sales,Yes,9.8
E0420,Marketing,Yes,10.1
E0421,Sales,Yes,9.1
E0422,Marketing,No,8.7
E0423,Sales,Yes,5.5
E0424,Marketing,Yes,8.1
E0425,Sales,Yes,7.8
E0426,IT,No,8.1
E0427,HR,Yes,9.1
E0428,Sales,No,4.7
E0429,Marketing,Yes,7.3
E0430,HR,Yes,8.3
E0431,Sales,Yes,7.4
E0432,Marketing,No,6.3
E0433,IT,No,9.0
E0434,IT,Yes,8.3
E0435,Marketing,No,6.8
E0436,Sales,Yes,8.4
E0437,HR,No,9.0
E0438,HR,No,8.0
E0439,Marketing,Yes,9.0
E0440,Sales,Yes,8.1
E0441,HR,No,7.5
E0442,Sales,Yes,6.6
E0443,HR,Yes,7.9
E0444,HR,No,8.2
E0445,IT,Yes,9.1
E0446,Marketing,Yes,7.9
E0447,Sales,Yes,8.5
E0448,HR,No,6.8
E0449,Sales,Yes,7.1
E0450,Sales,No,7.9
E0451,Marketing,Yes,6.7
E0452,HR,No,9.0
E0453,Marketing,No,8.6
E0454,Sales,Yes,8.3
E0455,Sales,No,8.4
E0456,Sales,Yes,10.4
E0457,IT,Yes,7.4
E0458,IT,Yes,5.4
E0459,Sales,No,8.2
E0460,Sales,No,7.9
E0461,HR,Yes,7.4
E0462,IT,Yes,6.8
E0463,Sales,Yes,7.5
E0464,Marketing,Yes,8.2
E0465,Marketing,No,7.4
E0466,IT,Yes,10.9
E0467,Sales,No,6.8
E0468,Marketing,Yes,7.0
E0469,Sales,Yes,5.3
E0470,HR,Yes,8.3
E0471,HR,No,5.6
E0472,IT,Yes,7.4
E0473,Sales,Yes,7.7
E0474,HR,No,7.1
E0475,Sales,No,10.1
E0476,Sales,Yes,9.2
E0477,Marketing,No,9.6
E0478,Marketing,Yes,6.9
E0479,IT,No,9.4
E0480,Sales,Yes,8.6
E0481,HR,Yes,8.9
E0482,HR,Yes,9.2
E0483,Sales,No,6.9
E0484,IT,Yes,7.5
E0485,HR,No,9.0
E0486,Marketing,Yes,4.8
E0487,Marketing,Yes,9.8
E0488,Marketing,Yes,8.7
E0489,Sales,No,7.9
E0490,Marketing,Yes,8.3
E0491,IT,No,6.8
E0492,Marketing,No,7.6
E0493,Sales,No,9.3
E0494,Sales,No,9.6
E0495,Sales,No,11.2
E0496,Sales,Yes,7.9
E0497,Marketing,Yes,1.2
E0498,HR,No,7.4
E0499,Marketing,Yes,6.8
E0500,IT,Yes,7.9
E0501,Sales,No,8.5
E0502,Marketing,No,8.0
E0503,Marketing,No,9.3
E0504,Sales,No,7.7
E0505,Marketing,No,7.6
E0506,Marketing,No,7.3
E0507,Sales,No,6.0
E0508,IT,No,6.1
E0509,HR,Yes,6.6
E0510,IT,Yes,9.6
E0511,IT,Yes,9.1
E0512,IT,No,9.6
E0513,HR,Yes,6.4
E0514,IT,Yes,5.6
E0515,Marketing,No,7.2
E0516,HR,Yes,8.2
E0517,Marketing,No,8.6
E0518,Marketing,No,9.3
E0519,IT,No,8.3
E0520,Marketing,Yes,10.1
E0521,IT,Yes,7.7
E0522,Marketing,No,6.9
E0523,Marketing,No,6.0
E0524,Sales,Yes,6.9
E0525,Marketing,Yes,8.3
E0526,IT,No,6.9
E0527,Sales,Yes,9.1
E0528,Sales,Yes,9.7
E0529,HR,No,5.2
E0530,HR,No,9.0
E0531,Marketing,Yes,5.3
E0532,IT,Yes,8.5
E0533,Sales,No,9.5
E0534,Marketing,No,8.1
E0535,HR,Yes,6.5
E0536,Marketing,Yes,7.3
E0537,Sales,Yes,7.7
E0538,HR,No,7.8
E0539,IT,Yes,7.8
E0540,Marketing,No,7.9
E0541,Marketing,Yes,8.3
E0542,Marketing,No,6.5
E0543,IT,Yes,7.7
E0544,IT,Yes,9.8
E0545,Marketing,No,7.5
E0546,Marketing,No,7.5
E0547,IT,Yes,9.3
E0548,Marketing,No,4.9
E0549,Marketing,No,9.4
E0550,IT,Yes,7.2
E0551,Sales,Yes,8.2
E0552,Sales,No,8.1
E0553,Marketing,Yes,9.1
E0554,IT,Yes,7.7
E0555,Marketing,Yes,7.2
E0556,HR,Yes,9.6
E0557,Marketing,Yes,5.2
E0558,Marketing,No,8.0
E0559,Sales,No,6.4
E0560,HR,Yes,7.1
E0561,HR,Yes,10.4
E0562,Sales,Yes,7.9
E0563,Marketing,Yes,8.2
E0564,IT,No,5.9
E0565,Sales,No,7.1
E0566,IT,No,8.2
E0567,IT,Yes,8.4
E0568,HR,No,8.7
E0569,HR,Yes,8.0
E0570,IT,Yes,8.6
E0571,Marketing,No,8.5
E0572,HR,No,5.8
E0573,Sales,Yes,8.0
E0574,IT,No,8.9
E0575,Marketing,No,8.7
E0576,Marketing,Yes,7.6
E0577,Marketing,No,7.0
E0578,IT,Yes,6.7
E0579,IT,No,7.8
E0580,HR,Yes,9.4
E0581,Marketing,Yes,5.7
E0582,HR,Yes,7.2
E0583,Sales,No,6.6
E0584,Marketing,Yes,8.9
E0585,HR,No,7.3
E0586,IT,Yes,7.4
E0587,HR,No,7.7
E0588,HR,Yes,8.5
E0589,HR,No,7.5
E0590,Sales,No,4.3
E0591,Sales,Yes,8.7
E0592,Sales,Yes,8.5
E0593,Marketing,No,7.7
E0594,Sales,Yes,6.7
E0595,Sales,No,8.4
E0596,IT,No,8.5
E0597,Marketing,Yes,7.4
E0598,Sales,No,7.7
E0599,HR,No,6.9
E0600,HR,No,7.8
E0601,Sales,Yes,6.1
E0602,IT,Yes,8.5
E0603,IT,Yes,6.9
E0604,HR,Yes,8.3
E0605,Sales,Yes,6.3
E0606,Sales,Yes,7.3
E0607,Sales,Yes,7.9
E0608,Sales,No,6.0
E0609,HR,No,8.1
E0610,Marketing,No,7.5
E0611,HR,Yes,5.9
E0612,HR,Yes,6.4
E0613,Sales,No,8.7
E0614,Marketing,Yes,9.1
E0615,HR,No,7.8
E0616,HR,No,8.5
E0617,Marketing,Yes,8.3
E0618,Sales,No,8.4
E0619,Sales,Yes,9.5
E0620,IT,Yes,6.2
E0621,Marketing,No,8.8
E0622,HR,No,7.5
E0623,Marketing,No,7.7
E0624,Sales,No,7.6
E0625,Sales,No,7.5
E0626,HR,No,6.5
E0627,HR,Yes,8.2
E0628,Sales,No,10.0
E0629,Sales,No,7.9
E0630,IT,Yes,8.0
E0631,Sales,No,2.4
E0632,IT,No,7.9
E0633,Sales,Yes,8.6
E0634,HR,No,7.6
E0635,Sales,No,7.5
E0636,Marketing,No,8.5
E0637,Sales,No,6.9
E0638,HR,Yes,8.3
E0639,Marketing,Yes,9.0
E0640,HR,Yes,9.6
E0641,Marketing,Yes,7.9
E0642,Sales,No,9.6
E0643,HR,Yes,9.2
E0644,HR,Yes,6.8
E0645,IT,No,6.5
E0646,Marketing,No,7.6
E0647,Sales,No,9.2
E0648,HR,Yes,7.9
E0649,IT,Yes,7.3
E0650,HR,No,9.9
E0651,HR,No,8.3
E0652,Marketing,No,5.2
E0653,Marketing,No,8.4
E0654,Marketing,No,8.6
E0655,Marketing,No,8.3
E0656,IT,Yes,8.5
E0657,IT,No,7.9
E0658,Sales,Yes,6.4
E0659,Marketing,Yes,7.6
E0660,Marketing,No,6.9
E0661,Marketing,Yes,6.9
E0662,Marketing,Yes,6.5
E0663,Marketing,No,8.5
E0664,Marketing,Yes,8.1
E0665,IT,No,7.5
E0666,Marketing,No,7.2
E0667,HR,Yes,8.0
E0668,HR,No,9.3
E0669,IT,Yes,5.6
E0670,HR,No,8.5
E0671,Sales,Yes,7.3
E0672,IT,Yes,5.7
E0673,Sales,Yes,5.7
E0674,HR,No,6.9
E0675,Sales,Yes,8.3
E0676,HR,No,8.5
E0677,IT,No,6.9
E0678,IT,No,9.2
E0679,Marketing,Yes,9.7
E0680,HR,No,8.5
E0681,Marketing,Yes,7.3
E0682,Sales,Yes,9.3
E0683,HR,No,8.9
E0684,HR,Yes,9.0
E0685,Sales,No,7.2
E0686,HR,No,4.6
E0687,IT,Yes,10.5
E0688,Sales,No,6.1
E0689,Marketing,No,8.0
E0690,IT,Yes,10.9
E0691,HR,Yes,8.4
E0692,Marketing,Yes,9.1
E0693,IT,No,6.2
E0694,HR,Yes,5.9
